

,,xiya:LeftElbow1,,,xiya:LeftElbow2,,,xiya:LeftElbow3,,,xiya:LeftHand1,,,xiya:LeftHand2,,,xiya:LeftHand3,,,xiya:RightElbow1,,,xiya:RightElbow2,,,xiya:RightElbow3,,,xiya:RightHand1,,,xiya:RightHand2,,,xiya:RightHand3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
58,0,-185.791,54.7629,1062.01,-120.949,44.1273,1040.04,-207.852,83.9165,960.886,-219.4,98.9614,865.68,-226.4,121.794,822.862,-194.657,145.019,862.105,287.669,42.1376,1068.06,230.27,6.12234,1052.39,298.717,88.0756,956.982,309.241,91.1331,867.544,305.55,118.834,825.139,267.057,132.242,870.87
59,0,-185.536,55.6394,1061.75,-121.169,45.416,1039.78,-207.023,85.4567,961.046,-218.578,100.593,865.38,-225.596,123.539,822.902,-193.362,146.444,862.241,287.686,41.7003,1067.88,230.365,6.2662,1052.35,298.804,87.4507,956.348,309.377,90.4707,867.559,305.757,117.997,824.875,267.434,131.38,870.664
60,0,-185.407,56.3756,1061.67,-121.07,45.7703,1039.81,-206.718,86.6397,961.176,-218.074,102.185,865.528,-224.167,125.011,822.534,-192.141,147.919,862.19,287.67,41.3403,1067.79,230.24,5.90183,1052.2,298.858,87.2324,956.289,309.505,89.7279,867.512,305.942,117.142,824.708,267.871,130.59,870.416
61,0,-185.357,57.305,1061.66,-121.105,46.0196,1039.75,-206.391,87.5297,960.791,-217.53,103.365,865.669,-223.304,126.711,822.327,-191.493,149.174,862.003,287.722,40.8676,1067.63,230.091,5.59082,1052.11,298.785,86.9125,956.418,309.682,88.9384,867.471,306.195,116.457,824.657,268.331,129.826,870.163
62,0,-185.213,58.2991,1061.61,-120.995,46.3216,1039.81,-206.019,88.7796,960.683,-216.948,104.872,865.716,-222.567,128.303,822.541,-190.903,150.377,862.016,287.65,40.5318,1067.52,229.971,5.34583,1052.03,298.862,86.2233,956.948,309.864,88.3856,867.452,306.503,115.823,824.587,268.697,129.141,869.965
63,0,-184.965,59.0962,1061.38,-120.898,46.7268,1039.89,-205.672,90.0166,960.493,-216.577,106.237,865.61,-222.145,129.484,822.844,-189.855,151.727,862.018,287.584,40.249,1067.38,229.905,5.11148,1051.97,298.8,86.1285,956.628,310.053,87.9917,867.366,306.831,115.337,824.462,268.948,128.809,869.818
64,0,-184.869,59.8061,1061.21,-120.252,48.5646,1039.18,-205.262,91.147,960.162,-215.718,107.603,865.301,-221.409,131.082,822.673,-188.986,152.877,862.215,287.581,39.9251,1067.32,229.932,5.07105,1051.81,299.05,85.6725,956.47,310.254,87.6983,867.253,307.006,114.937,824.326,269.113,128.508,869.804
65,0,-184.825,60.5621,1061.12,-120.923,48.0041,1040,-204.785,92.2056,960.066,-214.911,109.233,865.019,-221.031,132.576,822.631,-188.272,154.158,862.303,287.615,39.6424,1067.24,229.853,4.91174,1051.78,299.288,85.2778,956.309,310.374,87.5203,867.208,307.217,114.555,824.247,269.228,128.288,869.769
66,0,-184.814,61.4762,1061.03,-120.349,50.1083,1038.92,-204.504,93.0401,960.142,-214.904,110.355,865.197,-220.169,134.093,822.315,-187.778,155.337,862.328,287.59,39.5169,1067.16,229.885,4.83561,1051.58,299.538,85.0666,956.263,310.576,87.2164,867.076,307.53,114.376,824.252,269.348,128.118,869.733
67,0,-184.667,62.2135,1060.87,-120.304,50.1988,1038.74,-204.392,93.9432,960.206,-214.538,111.53,865.226,-219.5,135.392,822.305,-187.428,156.386,862.416,287.617,39.4004,1067.14,229.81,4.71681,1051.53,299.639,84.7806,956.154,310.782,86.9928,866.979,307.722,114.087,824.15,269.448,128.007,869.69
68,0,-184.583,62.7676,1060.77,-120.242,50.5869,1038.77,-204.062,94.9684,960.217,-214.242,112.646,865.381,-219.185,136.772,822.634,-187.091,157.585,862.578,287.696,39.3098,1067.11,229.852,4.70876,1051.41,299.852,84.4982,956.062,310.957,86.8622,866.942,308.001,113.893,824.082,269.62,127.818,869.651
69,0,-184.556,63.3316,1060.7,-120.297,50.954,1038.82,-203.966,95.88,960.176,-214.053,113.924,865.457,-218.692,138.177,822.72,-186.671,158.805,862.74,287.7,39.2226,1067.09,230.002,4.74805,1051.32,299.949,84.5191,956.087,311.137,86.7219,866.862,308.2,113.794,824.043,269.768,127.693,869.546
70,0,-184.585,63.9563,1060.65,-120.356,51.4062,1038.7,-203.824,96.7318,960.066,-213.686,115.07,865.251,-218.504,139.129,822.855,-186.122,159.843,862.772,287.717,39.278,1067.04,229.956,4.71616,1051.3,300.127,84.5316,956.049,311.36,86.68,866.871,308.487,113.759,823.998,269.858,127.712,869.522
71,0,-184.738,64.6389,1060.68,-120.396,51.7914,1038.69,-203.754,97.6916,959.972,-213.478,116.022,865.237,-218.222,140.089,822.878,-185.597,160.8,862.791,287.78,39.2088,1067.03,230.019,4.7409,1051.23,300.267,84.5184,956.006,311.57,86.713,866.888,308.666,113.793,824.01,270.014,127.684,869.479
72,0,-184.704,65.3824,1060.63,-120.629,52.751,1038.6,-203.703,98.7258,959.956,-213.348,116.989,865.279,-218.043,141.175,822.869,-185.244,161.648,862.907,287.842,39.1632,1067.02,230.064,4.8148,1051.17,300.512,84.6585,956.144,311.804,86.7686,866.928,308.936,113.882,823.979,270.235,127.667,869.427
